,flows_mean,flows_conf,packets_mean,packets_conf,fraction_mean,fraction_conf,octets_mean,octets_conf,operations_mean,operations_conf,occupancy_mean,occupancy_conf
1,52.1666594,0.0008887151973766549,98.72765630502272,0.005819056879758477,38.2138431115539,0.0008722356074386539,99.7145208411257,0.0013399729913032843,1.916933174660209,3.2657004466862816e-05,2.6168527393362098,5.973020674954199e-05
2,34.6579025,0.0014370909581415958,98.06391710139205,0.008855470858406989,24.261026823096888,0.0010559126658584717,99.5336572107486,0.0021900875374001316,2.8853448384309432,0.000119642607031345,4.121837085769674,0.00017939704941039025
4,25.10641724,0.0015275722680883064,97.25293308799836,0.012557781642257737,15.722958246184882,0.0007020367607353251,99.25251847257172,0.0035130259919071705,3.983045419669691,0.00024234812580736786,6.360126290338188,0.00028398088689396417
8,15.867660460000002,0.0009364091903378835,96.18954150675918,0.017385341355421247,9.415125217517513,0.0007949973107361785,98.80764117932863,0.005598259350094281,6.302126292202561,0.0003719052290609426,10.621207690783873,0.0008968973445284689
16,9.424366180000002,0.0012149744413321173,94.9188769358956,0.02319529370529949,5.563034835370074,0.0006857435609415319,98.1713181436523,0.008608655413880228,10.61079323028816,0.001368076857048095,17.9757998552792,0.0022161051889959538
32,5.655649479999999,0.0008116531253810066,93.43825931902623,0.029987114281638583,3.405701285098273,0.0004093211065057112,97.30175708772339,0.01273696912838318,17.6814354253109,0.002537754048887564,29.362528412908176,0.0035291465638280783
64,3.54451784,0.0006272324623592951,91.63699343455184,0.03824464525696669,2.1425558457301297,0.00027239189287708854,96.09795126125914,0.018407045512333298,28.212582398770696,0.004992518758857756,46.67322956269007,0.0059333865890351944
128,2.25796442,0.0003228265195041047,89.36426231097231,0.04876747501820944,1.3460047507554855,7.16483265670309e-05,94.4458064290081,0.026174519886311032,44.287677952256495,0.006331493804253796,74.2939429380921,0.003954712828004858
256,1.4059416,0.00021702759416553086,86.49455951615889,0.062056625284284905,0.8313908011642092,0.00012914983673728564,92.21155089345451,0.03669672302491733,71.12671055211018,0.010978725615103713,120.2803797108389,0.018684161997782667
512,0.8733587399999999,0.0002828267286519859,82.9455499447126,0.07842172231111988,0.5125036127680771,0.0002204473057973999,89.27943403211427,0.050399903645896416,114.50049202252762,0.03708260455722723,195.12059448670803,0.08392276550733868
1024,0.53707718,0.00022798769133680619,78.5669634450051,0.09764557313582145,0.31401118263301464,0.0002050828117414194,85.37421032433136,0.06785033845994803,186.1929962258015,0.07902385498061903,318.4600666013904,0.2080014373163408
2048,0.32655338,0.0002795994419551584,73.19500122319658,0.11917473900599873,0.19131947732612747,0.0001458218871081829,80.3062357152678,0.08876634390013294,306.22876430429153,0.2621716938727445,522.6860931652727,0.3984584344744917
4096,0.20045936000000003,0.00016333346816008176,66.64266554319025,0.14472955322523262,0.11669903406253543,8.203898473384263e-05,73.93844277641088,0.11449530252896523,498.85440348639565,0.40654506551339864,856.9053416025121,0.602493140668912
8192,0.12373078,9.96605502285447e-05,58.58553674136258,0.1770738114061743,0.07007981820168782,6.365650977584181e-05,65.91402962584735,0.14764424559052713,808.206605237134,0.6510303110603672,1426.9449520095159,1.2963688312743216
