,flows_mean,packets_mean,fraction_mean,octets_mean,operations_mean,occupancy_mean
1,52.16708838205557,99.39126837111465,52.16708838205557,99.89527630789165,1.9169174109858504,1.9169174109858504
2,34.77259575288551,98.96217133829578,34.77259575288551,99.83186051896405,2.8758278706214155,2.8758278706214155
4,25.73517389401885,98.56797214704372,25.73517389401885,99.75237077503552,3.885732438094819,3.885732438094819
8,16.69810637820046,97.88299084185496,16.69810637820046,99.58499629806022,5.988703014286156,5.988703014286156
16,9.616071322765151,96.93011604714786,9.616071322765151,99.28759048208711,10.399257310338301,10.399257310338301
32,5.7722438148092525,95.7307548672579,5.7722438148092525,98.79702793825977,17.324285530600818,17.324285530600818
64,3.530300366781536,94.49457836353274,3.530300366781536,98.0936144888234,28.326201628890537,28.326201628890537
128,2.2697195009090843,93.10813658366983,2.2697195009090843,97.16080691013029,44.058307627857666,44.058307627857666
256,1.4373417036967817,91.27453186168026,1.4373417036967817,95.92652559105149,69.5728786987842,69.5728786987842
512,0.8621981384028476,88.77528741471218,0.8621981384028476,94.22392080333604,115.98262110057662,115.98262110057662
1024,0.5225507068955526,85.52701042354235,0.5225507068955526,91.81927040262323,191.36898808174035,191.36898808174035
2048,0.3328094946609239,81.55555119546034,0.3328094946609239,88.49755835664801,300.4721968701131,300.4721968701131
4096,0.21298051414558872,76.93272615347023,0.21298051414558872,84.14959510649814,469.52652171570134,469.52652171570134
8192,0.12890217582186558,71.52724876305265,0.12890217582186558,78.75303137124067,775.782094929053,775.782094929053
16384,0.07143448793476281,64.51132885922763,0.07143448793476281,71.98363011998534,1399.8840460832378,1399.8840460832378
32768,0.03580371741710442,54.421211858048466,0.03580371741710442,62.486889814761625,2793.006067918167,2793.006067918167
65536,0.016147666120636117,41.00025410799817,0.016147666120636117,48.78355801590332,6192.8454089228235,6192.8454089228235
131072,0.006533677572095886,27.010849897666144,0.006533677572095886,32.83314761966185,15305.316017901048,15305.316017901048
262144,0.0023665499109593036,16.21244752066743,0.0023665499109593036,19.743754279966154,42255.60573935415,42255.60573935415
524288,0.000765998222129749,9.751012024420602,0.000765998222129749,11.874756342147652,130548.6058726928,130548.6058726928
1048576,0.00022125126110106308,6.227265677276506,0.00022125126110106308,7.59142197473206,451974.82492234034,451974.82492234034
2097152,5.6963357764061584e-05,4.084274472228023,5.6963357764061584e-05,4.94262708499098,1755514.490809922,1755514.490809922
4194304,1.3060278314380724e-05,2.602971841136481,1.3060278314380724e-05,3.122873039753127,7656804.670838416,7656804.670838416
8388608,2.6645374129330435e-06,1.5644105581114065,2.6645374129330435e-06,1.878774543907502,37529966.558031164,37529966.558031164
16777216,4.834205480364062e-07,0.8757214521216805,4.834205480364062e-07,1.06857195540484,206859225.173997,206859225.173997
