,flows_mean,flows_conf,packets_mean,packets_conf,fraction_mean,fraction_conf,octets_mean,octets_conf,operations_mean,operations_conf,occupancy_mean,occupancy_conf
64,96.48428568,0.0010616424955856019,99.29901527545152,0.0015261147645304618,63.09779431811678,0.0013327521568413658,99.90423580558964,0.0003088612830595139,1.0364382065069395,1.1404239206980193e-05,1.5848414529196582,3.34748664712059e-05
128,65.54601186,0.0010368597782388633,98.78713226128107,0.0026369855301737744,40.820353101983535,0.0012134869433637618,99.82601296859971,0.0005609124113021835,1.5256458352733204,2.4133973220763494e-05,2.4497583300178993,7.282504000416523e-05
256,42.7498849,0.0015946166641072068,98.26984363313636,0.0037581461570255215,27.942936161463138,0.001159408411705698,99.72804788007905,0.0008762402967334992,2.3391875862617115,8.725312203505808e-05,3.5787219893966133,0.00014849033899411168
512,29.144005720000003,0.0019023629492025407,97.68253462274173,0.005017831247201343,19.526790892037276,0.00113415140314288,99.59481567790638,0.0013031248787598315,3.4312373248153145,0.000223977169276246,5.121169204297193,0.00029745051072360695
1024,21.02229516,0.0010237952905640668,96.94049422432309,0.006593648160361454,13.823777185716338,0.0007096437050062576,99.40857071357796,0.0018973527695891335,4.756854537621616,0.00023165755841159097,7.233912901900067,0.0003713555757407505
2048,14.84633076,0.0009248757044808542,95.97232564966264,0.00867895537371055,9.437609306988357,0.0008445348554477761,99.14041166665218,0.0027595613831721266,6.735671043433657,0.0004195951210705928,10.595903810243763,0.0009481608701289446
4096,9.968777280000001,0.0012850595997644376,94.78534432911033,0.011252582935000532,6.318114866842447,0.0007790224483672503,98.77275859066005,0.003948192673377093,10.031320597649671,0.001293082193132733,15.827505972336244,0.0019514864392764508
8192,6.659931560000001,0.000663891699681507,93.37326074113012,0.01434112968138379,4.250955007086264,0.0005568128701272101,98.28201997785472,0.005543541490553139,15.01516939246532,0.0014967718183367396,23.52412592549255,0.0030813815549421975
16384,4.5082381400000004,0.0006441067489655339,91.66608790814946,0.01810043132057615,2.8677574704717954,0.0005999216042247291,97.62150882341959,0.007693665151151663,22.18161462502463,0.00316946986215072,34.870453063191555,0.007294309018483602
32768,3.04364542,0.0006877223891574857,89.5650288497506,0.02288990311001271,1.9196886224456708,0.0004994634145609744,96.72708813669088,0.01065957423034547,32.85533919028852,0.007423319765365477,52.091783189518004,0.013550249768762512
65536,2.0312820799999995,0.0005258622900088383,86.97046963289488,0.028806588837468894,1.2759548090490929,0.0003469710452530528,95.5270048416498,0.014630301541515678,49.229993442091455,0.012743993898617134,78.37268461776509,0.021306775901976494
131072,1.35127,0.00045833499958214396,83.74341160429401,0.03620530923663523,0.8447487199114508,0.00028987653203538244,93.92914739087524,0.019901913953020767,74.00445948460701,0.02509267011159011,118.37840502438812,0.040617351660188206
262144,0.8972954599999999,0.0003555174871390232,79.68923515430924,0.0453896831375431,0.5539414596833797,0.00023079435125372694,91.80377596605312,0.026811782771119397,111.44602040816798,0.044164348280958166,180.52450716750838,0.07522622109894428
524288,0.5869015000000001,0.00023982205750616714,74.66083697004849,0.05575190501691907,0.3577004047186077,0.00018489611002203699,89.00041494929283,0.03527603831479098,170.38635727661676,0.06963166401067156,279.5636028102302,0.14456427761786017
1048576,0.37733968,0.0002503992613367423,68.68122723660164,0.06822898589638271,0.22847488052257386,0.00019324117835289867,85.36856528456613,0.0461101580269343,265.01327097472785,0.17597993060451245,437.68503967055557,0.3704433667966782
2097152,0.24154654,0.0001787856809690458,61.88916008127452,0.08077088076070993,0.14475151403815598,0.00015709962490739748,80.71356528039776,0.05883585873567654,413.9990100664826,0.3066134368861526,690.8394832267054,0.7501893916792142
